m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
7,25,127,15,0,0.317757,0.0928349,1,107,0.420561,24.1869
7,25,127,15,1,0.294309,0.0710027,1,123,3.22764,32.8374
7,25,127,15,2,0.292063,0.0460317,0.968254,126,0.642857,33.746
7,25,127,15,3,0.243766,0.0356234,0.916031,131,0.816794,37.0916
7,25,127,15,4,0.198693,0.0305011,0.784314,153,0.424837,32.0392
7,25,127,15,5,0.0918575,0.00839695,0.419847,262,0.454198,32.2939
7,25,127,15,6,0.0309562,0.00116218,0.169572,631,0.11252,30.5103
7,25,127,15,7,0.00449157,0.000603785,0.0225315,4527,0.0912304,28.7864
7,25,127,15,8,0.000228792,0.000202877,0.00111064,90038,0.51024,34.2433
7,25,127,15,9,5.92172e-06,3.35083e-05,2.7081e-05,3692621,0.559139,32.6571
7,25,127,15,10,8.46667e-09,3.67453e-06,3.175e-08,31496062,0.562509,29.9286
7,25,127,15,11,0,3.8735e-07,0,31496062,0.557705,27.4046
