m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
7,51,127,1,0,0.476923,0,0.846154,130,0.384615,63.8462
7,51,127,1,1,0.451389,0,0.854167,144,2.28472,85.6111
7,51,127,1,2,0.490683,0,0.763975,161,0.658385,88.118
7,51,127,1,3,0.458824,0,0.658824,170,0.635294,85.9765
7,51,127,1,4,0.393939,0,0.585859,198,0.469697,84.9444
7,51,127,1,5,0.337553,0,0.476793,237,0.383966,84.1181
7,51,127,1,6,0.238267,0,0.393502,277,0.256318,76.1372
7,51,127,1,7,0.191558,0,0.344156,308,0.175325,74.8734
7,51,127,1,8,0.143646,0,0.314917,362,0.237569,83.5635
7,51,127,1,9,0.0922242,0,0.188065,553,0.148282,72.0289
7,51,127,1,10,0.0242634,0,0.0583478,1731,0.0982091,71.8365
7,51,127,1,11,0.011563,0,0.0199362,5016,0.115032,75.1744
7,51,127,1,12,0.00168486,0,0.00732547,13651,0.114644,73.4195
