m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
4,3,15,5,0,0.135836,0.0682594,0.341297,293,0.0136519,0.0307167
4,3,15,5,1,0.0779956,0.0509804,0.233115,459,0.187364,0.505447
4,3,15,5,2,0.0634862,0.026055,0.187156,545,0.0972477,0.416514
4,3,15,5,3,0.0227704,0.0223909,0.0645161,1581,0.0461733,0.227704
4,3,15,5,4,0.0164228,0.00840019,0.0481359,2119,0.047664,0.155734
4,3,15,5,5,0.0045951,0.00655367,0.0125549,7965,0.00765851,0.0733208
4,3,15,5,6,0.00152339,0.0024648,0.00427917,23369,0.00483547,0.0407377
4,3,15,5,7,0.000528453,0.00108194,0.00139067,71908,0.00400512,0.0236552
4,3,15,5,8,5.55853e-05,0.000216314,0.000167426,597280,0.00820721,0.0290433
4,3,15,5,9,5.3377e-06,2.88498e-05,1.63733e-05,6107503,0.0181698,0.0961637
4,3,15,5,10,3.20467e-07,3.79137e-06,8.2171e-07,121697440,0.0298293,0.0882818
4,3,15,5,11,6e-09,2.355e-07,1.875e-08,266666666,0.0422127,0.0934694
4,3,15,5,12,0,7.5e-10,0,266666666,0.0500901,0.0903829
