m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
7,13,127,50,0,0.193269,0.0755769,1,104,0.317308,10.4519
7,13,127,50,1,0.135231,0.0467692,0.907692,130,2.6,16.6846
7,13,127,50,2,0.106763,0.0398561,0.827338,139,1.41727,16.777
7,13,127,50,3,0.0496063,0.0183465,0.429134,254,0.874016,15.2638
7,13,127,50,4,0.0209653,0.0117044,0.159879,663,1.01357,14.6908
7,13,127,50,5,0.00143416,0.00602981,0.012216,8186,0.614219,13.5109
7,13,127,50,6,4.67386e-05,0.00237483,0.000412885,242198,0.657425,14.852
7,13,127,50,7,1.7653e-07,0.0007757,1.42875e-06,31496062,0.63636,14.322
7,13,127,50,8,0,0.000192896,0,31496062,0.651273,13.11
