m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
3,3,7,1,0,0.153383,0.075188,0.153383,665,0.0150376,0.0571429
3,3,7,1,1,0.105157,0.0667341,0.105157,989,0.0606673,0.111223
3,3,7,1,2,0.0739461,0.0131306,0.0739461,1447,0.0552868,0.0822391
3,3,7,1,3,0.0428329,0.00763359,0.0428329,2358,0.0135708,0.0347752
3,3,7,1,4,0.0446585,0.00569177,0.0446585,2284,0.0175131,0.0398424
3,3,7,1,5,0.019253,0.00365807,0.019253,5194,0.00693107,0.0254139
3,3,7,1,6,0.00776759,0.00396147,0.00776759,12874,0.0480037,0.0584123
3,3,7,1,7,0.00440432,0.000440432,0.00440432,22705,0.00242237,0.0099978
3,3,7,1,8,0.00150071,0,0.00150071,66635,0.129662,0.375778
3,3,7,1,9,0.000736643,0,0.000736643,135751,0.00914174,0.0137237
3,3,7,1,10,0.000150131,1.50131e-05,0.000150131,666085,0.033281,0.0511436
3,3,7,1,11,2.36138e-05,0,2.36138e-05,4234804,0.0104949,0.0152236
3,3,7,1,12,2.22252e-06,0,2.22252e-06,44993989,0.0214777,0.0307433
