m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
3,1,7,4,0,0.122207,0.0803073,0.27933,358,0.0111732,0.0139665
3,1,7,4,1,0.111888,0.0565268,0.2331,429,0.177156,0.125874
3,1,7,4,2,0.0602981,0.0443767,0.144986,738,0.0582656,0.0609756
3,1,7,4,3,0.0380173,0.0250241,0.0981713,1039,0.0452358,0.0413859
3,1,7,4,4,0.0175904,0.00963855,0.0481928,2075,0.0154217,0.0250602
3,1,7,4,5,0.00682648,0.0060327,0.0158755,6299,0.0119067,0.00698524
3,1,7,4,6,0.00187996,0.00242877,0.00467071,21410,0.0280243,0.0294722
3,1,7,4,7,0.000575701,0.000615781,0.00145747,68612,0.0174897,0.0128112
3,1,7,4,8,0.000119126,0.000127117,0.000290552,344172,0.0197779,0.0168346
3,1,7,4,9,3.29176e-05,2.65945e-05,7.43901e-05,1344264,0.0760892,0.0379784
3,1,7,4,10,1.05613e-06,3.79489e-06,2.38672e-06,41898431,0.0348668,0.0233971
3,1,7,4,11,5.73125e-08,2.55938e-07,1.4175e-07,571428571,0.0252355,0.0154757
3,1,7,4,12,0,7.4375e-09,0,571428571,0.0230828,0.0134741
