m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
4,5,15,1,0,0.264574,0.0627803,0.457399,223,0.0269058,0.210762
4,5,15,1,1,0.25,0.108553,0.378289,304,0.194079,1.97368
4,5,15,1,2,0.19943,0.039886,0.299145,351,0.148148,1.08832
4,5,15,1,3,0.164583,0.0229167,0.233333,480,0.139583,0.9875
4,5,15,1,4,0.138277,0,0.210421,499,0.136273,1.11824
4,5,15,1,5,0.108303,0,0.200361,554,0.131769,0.935018
4,5,15,1,6,0.0986938,0,0.149492,689,0.0943396,0.830189
4,5,15,1,7,0.0474111,0,0.0655022,1603,0.0499064,0.663755
4,5,15,1,8,0.0163294,0,0.0358537,2817,0.0252041,0.548101
4,5,15,1,9,0.00651562,0,0.0151044,6753,0.0253221,0.536502
4,5,15,1,10,0.00306946,0,0.00713827,14009,0.00828039,0.394104
4,5,15,1,11,0.00115773,0,0.00231546,43188,0.00884505,0.268524
4,5,15,1,12,0.000265521,0,0.000414876,241036,0.0539587,0.302884
