m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
15,165,32767,30307,0,0.0872382,0.0786486,1,123,882.683,71989.5
15,165,32767,30307,1,0.0634974,0.0566597,1,123,828.943,68130.6
15,165,32767,30307,2,0.0437501,0.0373508,1,123,814.48,67426.8
15,165,32767,30307,3,0.0271334,0.0227686,1,123,795.992,67670.8
15,165,32767,30307,4,0.0154495,0.0123852,1,123,791.244,68032.4
15,165,32767,30307,5,0.00768907,0.00610876,1,123,850.488,70411.6
15,165,32767,30307,6,0,0.00237826,0,30518,1007.62,80603.3
