m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
11,409,2047,67,0,0.373134,0.0836064,1,123,21.6179,8848.11
11,409,2047,67,1,0.370707,0.0570319,1,123,13.6341,8736.15
11,409,2047,67,2,0.365368,0.0407718,1,123,13.2602,8814.38
11,409,2047,67,3,0.340493,0.0273025,1,123,13.3821,8903.38
11,409,2047,67,4,0.329572,0.0197792,1,123,13.0732,8836.44
11,409,2047,67,5,0.305303,0.00934353,1,123,13.1545,8806.15
11,409,2047,67,6,0.275209,0.00473244,1,123,13.4959,8736.81
11,409,2047,67,7,0.252639,0.00133479,1,123,12.252,8372.62
11,409,2047,67,8,0.240505,0,1,123,12.187,8348.73
11,409,2047,67,9,0.215144,0,1,123,12.6423,8629.85
11,409,2047,67,10,0.171361,0,0.894737,133,12.9098,8619.28
11,409,2047,67,11,0.00457255,0,0.0220684,4622,11.9249,7865.74
11,409,2047,67,12,0,0,0,488519,18.062,10386.1
