m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
7,15,127,36,0,0.235294,0.0694444,1,102,0.411765,17.8039
7,15,127,36,1,0.203305,0.0375958,0.991379,116,2.74138,18.3879
7,15,127,36,2,0.15366,0.0282187,0.912698,126,1.11905,17.381
7,15,127,36,3,0.131276,0.0144033,0.837037,135,1.05185,17.5185
7,15,127,36,4,0.0619658,0.0071644,0.461538,221,1.51584,19.6787
7,15,127,36,5,0.0183198,0.0044508,0.143062,699,0.987124,16.9728
7,15,127,36,6,0.00130927,0.00207006,0.0106157,9420,0.968684,14.915
7,15,127,36,7,4.07592e-05,0.000781347,0.000280025,357111,1.10917,14.201
7,15,127,36,8,1.66667e-07,0.000193153,1.5e-06,2000000,1.12377,13.3318
7,15,127,36,9,0,3.10139e-05,0,2000000,1.08458,11.2128
