m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
15,7,32767,32662,0,0.0791083,0.0782617,1,115,614.696,3042.06
15,7,32767,32662,1,0.0571066,0.0563609,1,115,551.887,2750.44
15,7,32767,32662,2,0.0382458,0.0376278,1,114,568.123,2830.78
15,7,32767,32662,3,0.0232713,0.0231315,1,115,463.957,2830.69
15,7,32767,32662,4,0.0128768,0.0125864,1,115,524.104,2889.7
15,7,32767,32662,5,0.00610506,0.00589961,1,114,490.728,2823.84
15,7,32767,32662,6,0.00245578,0.00230242,1,114,527.974,2825.92
15,7,32767,32662,7,0.0008562,0.000735864,1,115,505.113,2929.27
15,7,32767,32662,8,0.000108893,0.000171249,0.346667,300,480.523,2689
15,7,32767,32662,9,5.01608e-09,3.33579e-05,1.63835e-05,61037,469.961,2027.13
15,7,32767,32662,10,0,3.69384e-06,0,61037,466.923,1792.11
