m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
15,15,32767,32542,0,0.0792012,0.0785206,1,115,552.026,6217.8
15,15,32767,32542,1,0.0573696,0.0561527,1,115,556.922,6191.74
15,15,32767,32542,2,0.038383,0.0377839,1,115,508.6,6115.03
15,15,32767,32542,3,0.0234806,0.0229288,1,115,515.774,6123.52
15,15,32767,32542,4,0.0127747,0.012567,1,115,550.539,6024.1
15,15,32767,32542,5,0.00622677,0.00597096,1,114,530.877,5988.16
15,15,32767,32542,6,0.00249363,0.00253211,1,115,557.322,6057.87
15,15,32767,32542,7,0.00076359,0.00081911,0.966387,119,519.387,5937.16
15,15,32767,32542,8,6.11701e-07,0.000191227,0.00116323,61037,511.009,4870.71
15,15,32767,32542,9,0,3.31899e-05,0,61037,503.268,4050.47
