m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
15,41,32767,32152,0,0.0807726,0.0790246,1,115,655.496,15870.7
15,41,32767,32152,1,0.0585699,0.0566535,1,115,700.435,16214.8
15,41,32767,32152,2,0.039227,0.0376519,1,115,642.817,16164.8
15,41,32767,32152,3,0.0241413,0.022851,1,115,668.365,16083.4
15,41,32767,32152,4,0.0133472,0.0124233,1,115,710.435,16339.5
15,41,32767,32152,5,0.00635649,0.00587725,1,115,712.209,16194.4
15,41,32767,32152,6,0.00255309,0.00234349,1,115,693.339,16428.7
15,41,32767,32152,7,1.00259e-05,0.000772431,0.00740357,13507,610.614,14072.4
15,41,32767,32152,8,0,0.000190728,0,61037,601.615,11075.1
