m,t,n,k,ebno_db,ber,ber_uncoded,fer,frames,avg_enc_us,avg_dec_us
4,1,15,11,0,0.122995,0.0904229,0.534759,187,0.0160428,0.0213904
4,1,15,11,1,0.0835561,0.0558155,0.367647,272,0.00735294,0.00367647
4,1,15,11,2,0.0523549,0.037678,0.240964,415,0.00722892,0.00963855
4,1,15,11,3,0.025051,0.0243709,0.124688,802,0.00374065,0.021197
4,1,15,11,4,0.0117336,0.0118893,0.0571102,1751,1.44774,1.45574
4,1,15,11,5,0.0039188,0.00554281,0.0194175,5150,0.661553,0.436505
4,1,15,11,6,0.00150808,0.00225233,0.00718133,13925,0.135009,0.0881867
4,1,15,11,7,0.000237739,0.000812364,0.0011727,85273,0.331277,0.366177
4,1,15,11,8,2.66462e-05,0.000184155,0.00013027,767635,0.963481,0.524567
4,1,15,11,9,2e-06,3.34545e-05,1.1e-05,1000000,0.964209,0.478728
4,1,15,11,10,0,4.54545e-06,0,1000000,0.495943,0.249535
