m,t,n,k,ebno_db,ber,ber_uncoded,fer,frames,avg_enc_us,avg_dec_us
15,300,32767,28372,0,0.0942786,0.0786527,1,101,2209.04,155175
15,300,32767,28372,1,0.0699054,0.0560272,1,101,2119.14,149761
15,300,32767,28372,2,0.0489183,0.0375395,1,101,2233.54,152525
15,300,32767,28372,3,0.0313958,0.022911,1,101,2073.61,148656
15,300,32767,28372,4,0.0183848,0.0125249,1,101,2306.72,153749
15,300,32767,28372,5,0.00778882,0.00604221,0.789062,128,2204.06,156769
15,300,32767,28372,6,0,0.00238645,0,10000,2147.39,119772
