m,t,n,k,ebno_db,ber,ber_uncoded,fer,frames,avg_enc_us,avg_dec_us
15,200,32767,29797,0,0.0887876,0.0786932,1,101,1589.45,102533
15,200,32767,29797,1,0.0651664,0.0565314,1,101,1714.39,100292
15,200,32767,29797,2,0.0445314,0.0378286,1,101,1775.81,101404
15,200,32767,29797,3,0.0282914,0.0230773,1,101,1612.7,99253
15,200,32767,29797,4,0.0163094,0.0126041,1,101,1591.24,101078
15,200,32767,29797,5,0.00826118,0.00599103,1,101,1585.04,100001
15,200,32767,29797,6,0,0.0023901,0,10000,1650.06,83751.1
