m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
11,5,2047,1992,0,0.0817837,0.0787891,1,115,24.4609,100.104
11,5,2047,1992,1,0.0602191,0.0566221,1,115,24.4261,103.278
11,5,2047,1992,2,0.0412956,0.0370962,1,115,25.3391,90.5391
11,5,2047,1992,3,0.0247206,0.0224594,1,115,25.2087,91.0348
11,5,2047,1992,4,0.0151912,0.0130522,1,115,26.7043,91.6087
11,5,2047,1992,5,0.00740462,0.00636165,0.982759,116,24.5,91.4052
11,5,2047,1992,6,0.00221182,0.00271631,0.534653,202,24.0693,92.9703
11,5,2047,1992,7,3.15968e-05,0.000773944,0.00881523,11344,24.2577,64.8118
11,5,2047,1992,8,4.11044e-08,0.000189533,1.12585e-05,977039,24.5185,50.6524
11,5,2047,1992,9,0,3.31065e-05,0,977039,25.2081,46.0021
