m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
4,1,15,11,3,0.02463,0.0215645,0.117442,860,0.0116279,0.0453488
4,1,15,11,4,0.00808174,0.0126879,0.0460617,2171,0.0543528,0.0354675
4,1,15,11,5,0.00498696,0.0052386,0.0251636,3974,0.00276799,0.00452944
4,1,15,11,6,0.00101163,0.00260872,0.0047353,21118,0.0207406,0.0111279
4,1,15,11,7,0.000305461,0.000908128,0.00151355,66070,0.00915695,0.00768881
4,1,15,11,8,3.36531e-05,0.000178212,0.000182357,548375,0.0109159,0.00687303
4,1,15,11,9,2.22727e-06,2.98182e-05,9.5e-06,2000000,0.008223,0.0045045
4,1,15,11,10,0,5.36364e-06,0,2000000,0.0177315,0.010785
m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
4,3,15,5,0,0.10974,0.0785714,0.327922,308,0.0162338,0.282468
4,3,15,5,1,0.0655629,0.0615894,0.173841,604,0.218543,0.680464
4,3,15,5,2,0.0519231,0.0480769,0.14011,728,0.0192308,0.498626
4,3,15,5,3,0.0292562,0.0277686,0.0867769,1210,0.0256198,0.515702
4,3,15,5,4,0.0144398,0.0158462,0.0473511,2133,0.00515706,0.485232
4,3,15,5,5,0.00650472,0.00722746,0.0200763,4981,0.00562136,0.207388
4,3,15,5,6,0.00242286,0.00259688,0.00675992,14941,0.0169333,0.11532
4,3,15,5,7,0.000481438,0.000805829,0.00128727,77684,0.0301993,0.0668477
4,3,15,5,8,6.10991e-05,0.000236887,0.000170668,585933,0.0199238,0.0455001
4,3,15,5,9,6.8e-06,3.24e-05,1.75e-05,2000000,0.0059185,0.0152285
4,3,15,5,10,0,3.8e-06,0,2000000,0.015705,0.0169395
m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
4,5,15,1,0,0.272727,0.0574163,0.483254,209,0.0239234,0.722488
4,5,15,1,1,0.210526,0.0430622,0.502392,209,0.0717703,1.39234
4,5,15,1,2,0.174825,0,0.356643,286,0.0454545,1.1014
4,5,15,1,3,0.117143,0,0.3,350,0.0685714,1.04571
4,5,15,1,4,0.0914513,0,0.208748,503,0.0178926,1.07952
4,5,15,1,5,0.0636364,0,0.15303,660,0.0151515,0.968182
4,5,15,1,6,0.0458075,0.00543478,0.0807453,1288,0.0380435,1.01553
4,5,15,1,7,0.033593,0.00292113,0.0501461,2054,0.00340798,0.876339
4,5,15,1,8,0.019957,0,0.0307031,3257,0.0254836,0.878723
4,5,15,1,9,0.00582298,0,0.00970497,10304,0.0217391,0.880144
4,5,15,1,10,0.0042097,0,0.00572519,17816,0.00426583,0.588684
4,5,15,1,11,0.00151656,0,0.00266064,37585,0.00423041,0.465372
4,5,15,1,12,0.000140258,0,0.000326181,306578,0.0121959,0.327163
m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
7,10,127,64,0,0.149799,0.0824255,0.990826,109,1.3578,8.85321
7,10,127,64,1,0.116319,0.0598291,0.91453,117,3.47863,12.5214
7,10,127,64,2,0.0798142,0.0391681,0.763514,148,1.08108,11.1081
7,10,127,64,3,0.0299121,0.023318,0.314985,327,1.07951,11.2997
7,10,127,64,4,0.0128766,0.0123788,0.141274,722,1.05125,11.6177
7,10,127,64,5,0.000776325,0.00618598,0.00829463,12056,1.01601,9.39093
7,10,127,64,6,1.14672e-05,0.00239271,0.000126317,791662,1.02161,7.59083
7,10,127,64,7,3.125e-08,0.000764109,5e-07,2000000,1.02341,6.62001
7,10,127,64,8,0,0.000188516,0,2000000,1.02331,5.96756
m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
7,11,127,57,0,0.169424,0.0860485,1,105,0.27619,8.94286
7,11,127,57,1,0.160488,0.0683448,1,115,1.62609,13.3913
7,11,127,57,2,0.104216,0.044907,0.835821,134,1.13433,15.0149
7,11,127,57,3,0.0587077,0.0222507,0.531707,205,1.07317,13.9561
7,11,127,57,4,0.0157164,0.0116698,0.153274,672,1.26786,11.5789
7,11,127,57,5,0.0011972,0.00590153,0.0117454,8514,1.01762,10.3904
7,11,127,57,6,3.69573e-05,0.00238906,0.000378878,263937,1.05492,9.27688
7,11,127,57,7,3.68421e-07,0.000772965,3.5e-06,2000000,1.07147,8.3028
7,11,127,57,8,0,0.000185956,0,2000000,1.06834,7.48597
m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
7,15,127,36,0,0.235294,0.0694444,1,102,0.411765,17.8039
7,15,127,36,1,0.203305,0.0375958,0.991379,116,2.74138,18.3879
7,15,127,36,2,0.15366,0.0282187,0.912698,126,1.11905,17.381
7,15,127,36,3,0.131276,0.0144033,0.837037,135,1.05185,17.5185
7,15,127,36,4,0.0619658,0.0071644,0.461538,221,1.51584,19.6787
7,15,127,36,5,0.0183198,0.0044508,0.143062,699,0.987124,16.9728
7,15,127,36,6,0.00130927,0.00207006,0.0106157,9420,0.968684,14.915
7,15,127,36,7,4.07592e-05,0.000781347,0.000280025,357111,1.10917,14.201
7,15,127,36,8,1.66667e-07,0.000193153,1.5e-06,2000000,1.12377,13.3318
7,15,127,36,9,0,3.10139e-05,0,2000000,1.08458,11.2128
m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
7,3,127,106,0,0.108006,0.0760007,1,107,1.08411,2.49533
7,3,127,106,1,0.0898314,0.0626983,0.99115,113,1.23894,4.14159
7,3,127,106,2,0.0680319,0.046096,0.918699,123,1.21138,4.30081
7,3,127,106,3,0.0416128,0.0315327,0.780822,146,1.21233,4.0137
7,3,127,106,4,0.0158491,0.0138994,0.346667,300,1.62,3.98667
7,3,127,106,5,0.00182672,0.00629479,0.0449193,2293,1.13476,2.72918
7,3,127,106,6,0.00012552,0.00241301,0.00320605,31191,1.11984,1.98544
7,3,127,106,7,4.39952e-06,0.000774337,0.000111834,894179,1.02655,1.45994
7,3,127,106,8,7.07547e-08,0.000194203,1.5e-06,2000000,1.02808,1.17598
7,3,127,106,9,0,3.43113e-05,0,2000000,1.06322,1.11156
m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
7,7,127,78,0,0.142806,0.084283,0.990741,108,1.01852,7.08333
7,7,127,78,1,0.111037,0.0588629,0.991304,115,1.31304,8.73913
7,7,127,78,2,0.0781345,0.041591,0.866142,127,1.2126,7.93701
7,7,127,78,3,0.0345646,0.0250762,0.46696,227,1.13216,8.25551
7,7,127,78,4,0.0105929,0.0119071,0.13125,800,1.09,7.05875
7,7,127,78,5,0.000993434,0.00563282,0.0131113,7627,1.13242,6.22525
7,7,127,78,6,3.70734e-05,0.00240159,0.000483566,206797,1.02848,5.07013
7,7,127,78,7,2.4359e-07,0.000765526,4e-06,2000000,1.02044,4.46283
7,7,127,78,8,0,0.000192263,0,2000000,1.03921,3.98889
