m,t,n,k,ebno_db,ber,ber_uncoded,fer,frames,avg_enc_us,avg_dec_us
7,10,127,64,0,0.159344,0.0787438,0.990099,101,1.05941,17.9703
7,10,127,64,1,0.13006,0.0544643,0.961905,105,1.14286,18.981
7,10,127,64,2,0.0877232,0.0356027,0.721429,140,1.02143,20.3429
7,10,127,64,3,0.0429375,0.0251875,0.404,250,1.008,17.64
7,10,127,64,4,0.00956903,0.0123912,0.0940734,1063,1.01599,17.4722
7,10,127,64,5,0.000737231,0.00586325,0.00763475,13098,1.03107,14.6939
7,10,127,64,6,1.26023e-05,0.00237929,0.000137168,729033,1.23602,12.9774
7,10,127,64,7,0,0.000772766,0,1000000,1.22512,11.1813
