m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
11,7,2047,1970,0,0.0808665,0.0797221,1,114,24.2544,119.447
11,7,2047,1970,1,0.0598234,0.0559126,1,115,26.5391,134.722
11,7,2047,1970,2,0.0414301,0.0382476,1,115,39.8609,127.565
11,7,2047,1970,3,0.0260031,0.0229309,1,115,26.1043,126.217
11,7,2047,1970,4,0.0152373,0.0124961,1,115,26.7739,155.461
11,7,2047,1970,5,0.00712848,0.00616576,0.991379,116,26.5517,179.707
11,7,2047,1970,6,0.000973091,0.00252631,0.194981,518,30.3803,126.521
11,7,2047,1970,7,3.34055e-06,0.000780021,0.000738596,135392,27.0086,89.435
11,7,2047,1970,8,5.71498e-09,0.000190885,1.0235e-06,977039,27.0169,72.6372
11,7,2047,1970,9,0,3.33557e-05,0,977039,27.0696,65.9571
