m,t,n,k,ebno_db,ber,ber_uncoded,fer,frames,avg_enc_us,avg_dec_us
15,100,32767,31267,0,0.0837178,0.0786519,1,101,1163.59,51965.2
15,100,32767,31267,1,0.0606536,0.0564132,1,101,1128.58,51171.5
15,100,32767,31267,2,0.04111,0.0374646,1,101,1092.38,47945.2
15,100,32767,31267,3,0.0256827,0.02267,1,101,1169.28,51167.8
15,100,32767,31267,4,0.0144175,0.0124821,1,101,1159.86,50738.5
15,100,32767,31267,5,0.00709729,0.00591425,1,101,1114.43,51619.5
15,100,32767,31267,6,0.00123055,0.00234922,0.374532,267,1100.49,48632.8
15,100,32767,31267,7,0,0.000772191,0,10000,1114.06,36715.4
