m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
11,45,2047,1563,0,0.107474,0.0789118,1,115,31.1913,879.583
11,45,2047,1563,1,0.0819606,0.0584717,1,115,30.2696,954.096
11,45,2047,1563,2,0.0585162,0.0382431,1,115,33.2609,999.696
11,45,2047,1563,3,0.0398231,0.0233164,1,115,29.9652,932.043
11,45,2047,1563,4,0.0207788,0.0128928,0.818182,132,31.0758,825.288
11,45,2047,1563,5,3.65209e-05,0.00590376,0.00156218,64013,33.0953,717.916
11,45,2047,1563,6,0,0.00238107,0,977039,32.8375,583.77
