m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
7,1,127,120,0,0.0895032,0.0752404,1,104,1.08654,1.14423
7,1,127,120,1,0.0632609,0.0494928,1,115,1.46957,1.95652
7,1,127,120,2,0.0543103,0.0364943,0.991379,116,1.43103,2.12069
7,1,127,120,3,0.0346457,0.0238189,0.889764,127,1.23622,1.92126
7,1,127,120,4,0.0195808,0.0155419,0.668712,163,1.22086,1.64417
7,1,127,120,5,0.00788288,0.00595596,0.306306,333,1.16817,1.0991
7,1,127,120,6,0.00172455,0.00237578,0.0730825,1382,1.03473,0.487699
7,1,127,120,7,0.000226993,0.000783318,0.00923361,10830,1.04598,0.193075
7,1,127,120,8,1.28385e-05,0.000197886,0.00054439,183692,1.09234,0.0956601
7,1,127,120,9,5.5e-07,3.38458e-05,2.3e-05,2000000,1.06015,0.0327515
7,1,127,120,10,0,3.87083e-06,0,2000000,1.05798,0.026762
