m,t,n,k,ebno_db,ber,ber_uncoded,fer,frames,avg_enc_us,avg_dec_us
4,3,15,5,0,0.141392,0.0791209,0.3663,0,0.00732601,0.886447
4,3,15,5,1,0.099187,0.0558266,0.271003,0,0.00542005,0.97019
4,3,15,5,2,0.0703557,0.0359684,0.197628,0,0.00592885,0.918972
4,3,15,5,3,0.0397351,0.0249448,0.110375,0,0.0154525,0.868653
4,3,15,5,4,0.0203285,0.013039,0.0513347,0,0.000513347,0.818789
4,3,15,5,5,0.00822353,0.00613358,0.0227169,0,0.0136302,0.687415
4,3,15,5,6,0.00255906,0.00241845,0.00703037,0,0.066437,0.683774
4,3,15,5,7,0.000429245,0.000754685,0.00140276,0,0.126333,0.871661
4,3,15,5,8,6.86368e-05,0.000176068,0.000213158,0,0.0192247,0.287624
4,3,15,5,9,4.2e-06,3.26e-05,1.2e-05,0,0.031206,0.195252
4,3,15,5,10,1e-06,3.8e-06,3e-06,0,0.061097,0.10589
4,3,15,5,11,0,4e-07,0,0,0.048235,0.077643
