m,t,n,k,ebno_db,ber,ber_uncoded,fer,frames,avg_enc_us,avg_dec_us
7,5,127,92,0,0.122901,0.0807146,1,101,1.50495,25.1386
7,5,127,92,1,0.0934569,0.0520034,0.990196,102,1.61765,9.48039
7,5,127,92,2,0.065568,0.0334853,0.814516,124,1.46774,9.45161
7,5,127,92,3,0.0371727,0.0212587,0.558011,181,1.45856,8.59116
7,5,127,92,4,0.0111171,0.0120658,0.189753,527,1.4611,7.91651
7,5,127,92,5,0.00099813,0.00611355,0.0171321,5837,1.85335,6.7987
7,5,127,92,6,4.19261e-05,0.0023795,0.000782393,127813,1.63995,5.78332
7,5,127,92,7,3.47826e-07,0.000774435,7e-06,1000000,2.04027,5.59222
7,5,127,92,8,0,0.000191859,0,1000000,1.68966,4.28589
