m,t,n,k,ebno_db,ber,ber_uncoded,fer,frames,avg_enc_us,avg_dec_us
4,4,15,1,0,0.3,0.0785714,0.721429,0,0.135714,8.59286
4,4,15,1,1,0.232955,0.0340909,0.568182,0,0.00568182,1.30114
4,4,15,1,2,0.304094,0.0526316,0.584795,0,0.00584795,1.29825
4,4,15,1,3,0.203791,0.00473934,0.473934,0,0.0331754,1.53081
4,4,15,1,4,0.215517,0.012931,0.435345,0,0.012931,1.41379
4,4,15,1,5,0.12766,0,0.306991,0,0.0972644,1.56231
4,4,15,1,6,0.117788,0.00480769,0.240385,0,0.00480769,1.2476
4,4,15,1,7,0.0667939,0,0.19084,0,0.019084,1.25573
4,4,15,1,8,0.0495258,0.00210748,0.105374,0,0.00316122,1.12118
4,4,15,1,9,0.0305085,0,0.0684746,0,0.00338983,1.05627
4,4,15,1,10,0.0113902,0,0.0292056,0,0.00379673,0.931951
4,4,15,1,11,0.00289406,0,0.0103359,0,0.00403101,1.02191
4,4,15,1,12,0.00116349,0,0.00352572,0,0.115432,0.754328
