m,t,n,k,ebno_db,ber,ber_uncoded,fer,frames,avg_enc_us,avg_dec_us
7,2,127,113,0,0.106019,0.0761412,1,101,2.11881,4.0099
7,2,127,113,1,0.0819241,0.0530973,1,101,1.9802,4
7,2,127,113,2,0.0563,0.0369153,0.961905,105,1.97143,4.06667
7,2,127,113,3,0.0355333,0.0216848,0.770992,131,1.96183,3.91603
7,2,127,113,4,0.0151549,0.0121313,0.420833,240,1.9875,3.54167
7,2,127,113,5,0.00338958,0.00565236,0.10352,966,2.01139,2.72153
7,2,127,113,6,0.000371812,0.00235996,0.0124673,8021,1.98629,1.89029
7,2,127,113,7,2.34141e-05,0.000776048,0.000734943,136065,2.06353,1.46491
7,2,127,113,8,5.84071e-07,0.000188159,1.8e-05,1000000,2.31976,1.3637
7,2,127,113,9,0,3.29381e-05,0,1000000,2.15228,1.20101
