m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
11,21,2047,1816,0,0.0905047,0.0780789,1,115,27.0783,357.861
11,21,2047,1816,1,0.0690481,0.0579391,1,115,26.1739,347.939
11,21,2047,1816,2,0.0461214,0.0371145,1,115,36.4783,401.878
11,21,2047,1816,3,0.0297022,0.021878,1,115,26.4174,430.33
11,21,2047,1816,4,0.0172746,0.0118629,0.991379,116,73.6207,337.483
11,21,2047,1816,5,0.00224402,0.00589473,0.187835,559,26.6834,380.284
11,21,2047,1816,6,3.2858e-07,0.00238199,2.8658e-05,977039,30.0046,282.027
11,21,2047,1816,7,0,0.000771893,0,977039,30.6964,244.774
