m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
11,93,2047,1123,0,0.153161,0.0801642,1,123,32.8618,2338.9
11,93,2047,1123,1,0.122885,0.0570698,1,123,32.4878,2381.41
11,93,2047,1123,2,0.0956714,0.0393111,1,123,33.5854,2419.31
11,93,2047,1123,3,0.0696668,0.0235939,1,123,43.065,2451
11,93,2047,1123,4,0.0373835,0.0125752,0.719512,164,33.0915,2469.19
11,93,2047,1123,5,9.3783e-06,0.00595117,0.000200606,488519,35.4784,2217.47
11,93,2047,1123,6,0,0.00238222,0,488519,35.4986,1865.29
