m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
4,1,15,11,0,0.116883,0.0761308,0.492611,203,0.0246305,0.00985222
4,1,15,11,1,0.0746863,0.0453015,0.356902,297,0.245791,0.262626
4,1,15,11,2,0.0591133,0.0210479,0.253695,406,0.142857,0.214286
4,1,15,11,3,0.0222201,0.0126558,0.109458,941,0.0903294,0.0669501
4,1,15,11,4,0.0131325,0.0108276,0.0601415,1696,0.0548349,0.0601415
4,1,15,11,5,0.00364635,0.0042957,0.0184982,5460,0.0135531,0.0142857
4,1,15,11,6,0.00119508,0.0022102,0.00507563,19702,0.0191859,0.00888235
4,1,15,11,7,0.000202373,0.000708717,0.000908612,110058,0.0118029,0.00893165
4,1,15,11,8,2.23131e-05,0.000190615,0.000104891,953373,0.0352999,0.0205712
4,1,15,11,9,3.17934e-06,3.22703e-05,1.58967e-05,6290611,0.0291377,0.0177684
4,1,15,11,10,1.62273e-07,3.615e-06,8.25e-07,66666666,0.0386501,0.0197182
4,1,15,11,11,0,2.49545e-07,0,66666666,0.0431752,0.0225721
