m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
5,3,31,16,0,0.153033,0.0749081,0.742647,136,0.397059,2.13235
5,3,31,16,1,0.0906915,0.0768617,0.476596,235,1.15319,3.91915
5,3,31,16,2,0.0646895,0.0547373,0.340764,314,0.404459,2.50955
5,3,31,16,3,0.0338448,0.0265117,0.191336,554,0.413357,2.50361
5,3,31,16,4,0.0111482,0.0154494,0.0702247,1424,0.0828652,1.71208
5,3,31,16,5,0.00299296,0.00614126,0.0167357,6035,0.0707539,1.41259
5,3,31,16,6,0.000735294,0.00219733,0.00455996,21930,0.388098,1.46024
5,3,31,16,7,8.53731e-05,0.000872426,0.000498529,200590,0.0836831,1.12331
5,3,31,16,8,3.87612e-06,0.000202252,2.41315e-05,4143964,0.0505743,0.969067
5,3,31,16,9,1.085e-07,3.51559e-05,6.2e-07,32258064,0.06059,0.946252
5,3,31,16,10,0,4.13656e-06,0,32258064,0.0585685,0.923036
