m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
4,3,15,5,0,0.135937,0.0695313,0.390625,256,0.0078125,0.0859375
4,3,15,5,1,0.108511,0.0356383,0.295213,376,0.18883,0.577128
4,3,15,5,2,0.0743772,0.024911,0.192171,562,0.1121,0.423488
4,3,15,5,3,0.0321691,0.0158088,0.0965074,1088,0.0450368,0.290441
4,3,15,5,4,0.0194444,0.00747863,0.0544872,1872,0.0363248,0.21688
4,3,15,5,5,0.00631432,0.00652364,0.0174429,5733,0.0230246,0.181755
4,3,15,5,6,0.00205453,0.00245433,0.00555278,18009,0.00849575,0.0395358
4,3,15,5,7,0.000363511,0.000588928,0.00101539,98484,0.00641729,0.0370415
4,3,15,5,8,6.22723e-05,0.000189366,0.000182083,549201,0.00878731,0.069745
4,3,15,5,9,7.41684e-06,3.39542e-05,1.70111e-05,5878512,0.0736431,0.164393
4,3,15,5,10,1.98e-07,4.35e-06,7.05e-07,66666666,0.0731483,0.154081
4,3,15,5,11,3e-09,1.53e-07,1.5e-08,66666666,0.11051,0.171591
4,3,15,5,12,0,1.2e-08,0,66666666,0.132133,0.174297
