m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
4,2,15,7,0,0.163842,0.0661824,0.570621,177,0.0282486,0.0282486
4,2,15,7,1,0.0670625,0.0544883,0.264059,409,0.122249,0.271394
4,2,15,7,2,0.0530245,0.039897,0.185586,555,0.0972973,0.145946
4,2,15,7,3,0.0248202,0.0155126,0.101678,1013,0.313919,0.162883
4,2,15,7,4,0.013275,0.0106351,0.0533263,1894,0.0290391,0.0496304
4,2,15,7,5,0.00524068,0.00572593,0.0226449,4416,0.0215127,0.0258152
4,2,15,7,6,0.00143302,0.0023142,0.00623053,16050,0.00498442,0.0306542
4,2,15,7,7,0.000290673,0.000616677,0.00112415,88956,0.0530037,0.0120284
4,2,15,7,8,4.17872e-05,0.000205519,0.000183969,543571,0.0134371,0.0225877
4,2,15,7,9,3.78931e-06,3.13398e-05,1.5603e-05,6409004,0.051824,0.0772768
4,2,15,7,10,1.45714e-07,4.25357e-06,7.05e-07,66666666,0.104593,0.112818
4,2,15,7,11,0,3.55714e-07,0,66666666,0.125093,0.12317
