m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
7,9,127,71,0,0.139772,0.0755198,0.990476,105,0.27619,7.93333
7,9,127,71,1,0.114437,0.056228,0.953125,128,4.42188,11.875
7,9,127,71,2,0.0573737,0.0332781,0.553922,204,1.43137,17.1667
7,9,127,71,3,0.029536,0.0231152,0.311765,340,0.861765,10.05
7,9,127,71,4,0.00776085,0.0127072,0.0858844,1176,0.680272,10.534
7,9,127,71,5,0.000470937,0.00597854,0.00507382,19709,0.862296,9.34086
7,9,127,71,6,9.39481e-06,0.00239533,0.000103576,965472,1.53563,11.6548
7,9,127,71,7,8.94366e-09,0.000770867,1.27e-07,7874015,1.48262,10.2075
7,9,127,71,8,0,0.000191305,0,7874015,1.52895,9.4593
