m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
7,3,127,106,0,0.0999267,0.0815168,1,103,0.815534,3
7,3,127,106,1,0.0803037,0.0533057,0.99187,123,2.28455,5.30081
7,3,127,106,2,0.0581012,0.0391584,0.936508,126,1.66667,4.38095
7,3,127,106,3,0.0349678,0.024517,0.694611,167,1.84431,5.39521
7,3,127,106,4,0.013586,0.0152808,0.314371,334,1.31138,4.07485
7,3,127,106,5,0.0021074,0.00634461,0.0484791,2104,1.07985,2.7557
7,3,127,106,6,0.000141548,0.00240036,0.00371388,26926,1.11688,2.38138
7,3,127,106,7,4.67066e-06,0.000755722,0.000112777,886707,1.45911,2.18384
7,3,127,106,8,3.11509e-08,0.000190085,7.62e-07,7874015,1.62901,2.22101
7,3,127,106,9,0,3.36634e-05,0,7874015,1.7905,2.27773
