m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
5,1,31,26,0,0.125727,0.0791855,0.848739,119,0.352941,1.15966
5,1,31,26,1,0.0973154,0.05111,0.771812,149,1.55034,2.51007
5,1,31,26,2,0.0717812,0.0302345,0.609626,187,0.743316,1.62567
5,1,31,26,3,0.0286041,0.027724,0.24714,437,0.329519,0.855835
5,1,31,26,4,0.0136156,0.0114291,0.130491,774,0.175711,0.705426
5,1,31,26,5,0.0057753,0.00621208,0.0656151,1585,0.111041,0.657413
5,1,31,26,6,0.000901204,0.00183678,0.0100278,10072,0.042494,0.18616
5,1,31,26,7,0.000214708,0.000683161,0.00220648,45321,0.0661503,0.0878842
5,1,31,26,8,1.09574e-05,0.000189419,0.000116759,856463,0.0685529,0.056348
5,1,31,26,9,7.37587e-07,3.30419e-05,6.59012e-06,15174227,0.0798739,0.0431758
5,1,31,26,10,0,4.06696e-06,0,32258064,0.056238,0.0269892
