m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
5,5,31,11,0,0.164171,0.068984,0.594118,170,0.335294,3.81176
5,5,31,11,1,0.113924,0.0437284,0.459916,237,1.17722,5.42194
5,5,31,11,2,0.040747,0.0226887,0.181664,589,0.186757,3.51952
5,5,31,11,3,0.0247326,0.0166157,0.108193,952,0.136555,3.44223
5,5,31,11,4,0.010337,0.0126207,0.0449537,2269,0.107096,2.83693
5,5,31,11,5,0.00306435,0.00473906,0.0130651,7654,0.0458584,2.67886
5,5,31,11,6,0.00038337,0.00221575,0.00178689,55963,0.083716,2.20086
5,5,31,11,7,4.93928e-05,0.00073912,0.000243642,410439,0.0541518,1.88811
5,5,31,11,8,2.36496e-06,0.000187479,1.03232e-05,9686902,0.0415706,1.56874
5,5,31,11,9,8.73636e-08,3.56331e-05,4.65e-07,32258064,0.0410053,1.35423
5,5,31,11,10,0,3.67209e-06,0,32258064,0.0415987,1.21793
